"class_name","class_type","hyperlink","freigabe","belegpflicht","lang","start_date","end_date","max_part","start_time","end_time","week_day","rhythm","parallel","lecturer","room","floor","address","building","facility","txt"
Im Archiv - (Autonome) Frauenbildungszusammenhänge und akademisierte Geschlechterforschung,Seminar,,J,,deutsch,2022-07-08,2022-07-08,,"10:00","14:00",Freitag,Einzeltermin,Einzeltermin,Jeannette Windheuser,Seminarraum 2.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Bildung und ihre institutionellen Kontexte sind f&uuml;r Frauenbewegung und Geschlechterpolitik von besonderer Bedeutung, insofern sie einerseits die politische Bewusstwerdung erm&ouml;glich(t)en und andererseits Gegenstand der feministischen/geschlechterpolitischen Kritik waren und sind. Das Seminar befasst sich sowohl mit Frauenbildungszusammenh&auml;ngen, wie sie w&auml;hrend der zweiten Frauenbewegung au&szlig;erhalb, am Rand und in der Universit&auml;t an unterschiedlichen Orten entstanden (z.B. die Berliner Sommeruniversit&auml;t f&uuml;r Frauen ab 1976) als auch mit ihrer Transformation und Erweiterung im Zuge der Akademisierung der Geschlechterforschung bis heute. Bildung wird in diesem Zusammenhang hinsichtlich der Etablierung von Geschlecht als Gegenstand von Bildung in den Blick genommen und als im Bewusstsein um das geschlechtlich gebrochene Allgemeine ver&auml;nderte Subjektbildung.</p>
<p>Frauenbildungszusammenh&auml;nge und akademisierte Geschlechterforschung haben in dieser doppelten Perspektive die au&szlig;eruniversit&auml;re wie universit&auml;re Bildung Erwachsener ver&auml;ndert (z.B. durch ein entsprechendes Angebot in den Volkshochschulen oder neue Studieng&auml;nge).</p>
<p>Im Seminar werden wir uns in der Lekt&uuml;re der geschichtlichen Genese dieser Zusammenh&auml;nge widmen. Daneben werden wir verschiedene Orte ihrer Dokumentation besuchen. Dazu geh&ouml;ren: Die <em>Bibliothek f&uuml;r bildungsgeschichtliche Forschung</em> (hier wird das Material der Sektion Frauen- und Geschlechterforschung der Deutschen Gesellschaft f&uuml;r Erziehungswissenschaft (DGfE) archiviert), das <em>Weiterbildungsprogramm-Archiv Berlin/Brandenburg</em> und <em>Das feministische Archiv </em>(FFBIZ). Damit wird in dem Seminar zugleich in die Archivarbeit als Teil wissenschaftlichen Arbeitens eingef&uuml;hrt. Am 7.7. (Donnerstag!) und 8.7.2022 widmen wir uns au&szlig;er der Reihe der Geschichte der Sektion Frauen und Geschlechterforschung (DGfE). Weitere Informationen folgen im Seminar.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
Im Archiv - (Autonome) Frauenbildungszusammenhänge und akademisierte Geschlechterforschung,Seminar,,J,,deutsch,2022-07-22,2022-07-22,,"10:00","14:00",Freitag,Einzeltermin,Einzeltermin,Jeannette Windheuser,Seminarraum 2.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Bildung und ihre institutionellen Kontexte sind f&uuml;r Frauenbewegung und Geschlechterpolitik von besonderer Bedeutung, insofern sie einerseits die politische Bewusstwerdung erm&ouml;glich(t)en und andererseits Gegenstand der feministischen/geschlechterpolitischen Kritik waren und sind. Das Seminar befasst sich sowohl mit Frauenbildungszusammenh&auml;ngen, wie sie w&auml;hrend der zweiten Frauenbewegung au&szlig;erhalb, am Rand und in der Universit&auml;t an unterschiedlichen Orten entstanden (z.B. die Berliner Sommeruniversit&auml;t f&uuml;r Frauen ab 1976) als auch mit ihrer Transformation und Erweiterung im Zuge der Akademisierung der Geschlechterforschung bis heute. Bildung wird in diesem Zusammenhang hinsichtlich der Etablierung von Geschlecht als Gegenstand von Bildung in den Blick genommen und als im Bewusstsein um das geschlechtlich gebrochene Allgemeine ver&auml;nderte Subjektbildung.</p>
<p>Frauenbildungszusammenh&auml;nge und akademisierte Geschlechterforschung haben in dieser doppelten Perspektive die au&szlig;eruniversit&auml;re wie universit&auml;re Bildung Erwachsener ver&auml;ndert (z.B. durch ein entsprechendes Angebot in den Volkshochschulen oder neue Studieng&auml;nge).</p>
<p>Im Seminar werden wir uns in der Lekt&uuml;re der geschichtlichen Genese dieser Zusammenh&auml;nge widmen. Daneben werden wir verschiedene Orte ihrer Dokumentation besuchen. Dazu geh&ouml;ren: Die <em>Bibliothek f&uuml;r bildungsgeschichtliche Forschung</em> (hier wird das Material der Sektion Frauen- und Geschlechterforschung der Deutschen Gesellschaft f&uuml;r Erziehungswissenschaft (DGfE) archiviert), das <em>Weiterbildungsprogramm-Archiv Berlin/Brandenburg</em> und <em>Das feministische Archiv </em>(FFBIZ). Damit wird in dem Seminar zugleich in die Archivarbeit als Teil wissenschaftlichen Arbeitens eingef&uuml;hrt. Am 7.7. (Donnerstag!) und 8.7.2022 widmen wir uns au&szlig;er der Reihe der Geschichte der Sektion Frauen und Geschlechterforschung (DGfE). Weitere Informationen folgen im Seminar.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
Im Archiv - (Autonome) Frauenbildungszusammenhänge und akademisierte Geschlechterforschung,Seminar,,J,,deutsch,2022-06-10,2022-06-10,,"10:00","14:00",Freitag,Einzeltermin,Einzeltermin,Jeannette Windheuser,Seminarraum 2.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Bildung und ihre institutionellen Kontexte sind f&uuml;r Frauenbewegung und Geschlechterpolitik von besonderer Bedeutung, insofern sie einerseits die politische Bewusstwerdung erm&ouml;glich(t)en und andererseits Gegenstand der feministischen/geschlechterpolitischen Kritik waren und sind. Das Seminar befasst sich sowohl mit Frauenbildungszusammenh&auml;ngen, wie sie w&auml;hrend der zweiten Frauenbewegung au&szlig;erhalb, am Rand und in der Universit&auml;t an unterschiedlichen Orten entstanden (z.B. die Berliner Sommeruniversit&auml;t f&uuml;r Frauen ab 1976) als auch mit ihrer Transformation und Erweiterung im Zuge der Akademisierung der Geschlechterforschung bis heute. Bildung wird in diesem Zusammenhang hinsichtlich der Etablierung von Geschlecht als Gegenstand von Bildung in den Blick genommen und als im Bewusstsein um das geschlechtlich gebrochene Allgemeine ver&auml;nderte Subjektbildung.</p>
<p>Frauenbildungszusammenh&auml;nge und akademisierte Geschlechterforschung haben in dieser doppelten Perspektive die au&szlig;eruniversit&auml;re wie universit&auml;re Bildung Erwachsener ver&auml;ndert (z.B. durch ein entsprechendes Angebot in den Volkshochschulen oder neue Studieng&auml;nge).</p>
<p>Im Seminar werden wir uns in der Lekt&uuml;re der geschichtlichen Genese dieser Zusammenh&auml;nge widmen. Daneben werden wir verschiedene Orte ihrer Dokumentation besuchen. Dazu geh&ouml;ren: Die <em>Bibliothek f&uuml;r bildungsgeschichtliche Forschung</em> (hier wird das Material der Sektion Frauen- und Geschlechterforschung der Deutschen Gesellschaft f&uuml;r Erziehungswissenschaft (DGfE) archiviert), das <em>Weiterbildungsprogramm-Archiv Berlin/Brandenburg</em> und <em>Das feministische Archiv </em>(FFBIZ). Damit wird in dem Seminar zugleich in die Archivarbeit als Teil wissenschaftlichen Arbeitens eingef&uuml;hrt. Am 7.7. (Donnerstag!) und 8.7.2022 widmen wir uns au&szlig;er der Reihe der Geschichte der Sektion Frauen und Geschlechterforschung (DGfE). Weitere Informationen folgen im Seminar.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
Im Archiv - (Autonome) Frauenbildungszusammenhänge und akademisierte Geschlechterforschung,Seminar,,J,,deutsch,2022-05-13,2022-05-13,,"10:00","14:00",Freitag,Einzeltermin,Einzeltermin,Jeannette Windheuser,Seminarraum 2.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Bildung und ihre institutionellen Kontexte sind f&uuml;r Frauenbewegung und Geschlechterpolitik von besonderer Bedeutung, insofern sie einerseits die politische Bewusstwerdung erm&ouml;glich(t)en und andererseits Gegenstand der feministischen/geschlechterpolitischen Kritik waren und sind. Das Seminar befasst sich sowohl mit Frauenbildungszusammenh&auml;ngen, wie sie w&auml;hrend der zweiten Frauenbewegung au&szlig;erhalb, am Rand und in der Universit&auml;t an unterschiedlichen Orten entstanden (z.B. die Berliner Sommeruniversit&auml;t f&uuml;r Frauen ab 1976) als auch mit ihrer Transformation und Erweiterung im Zuge der Akademisierung der Geschlechterforschung bis heute. Bildung wird in diesem Zusammenhang hinsichtlich der Etablierung von Geschlecht als Gegenstand von Bildung in den Blick genommen und als im Bewusstsein um das geschlechtlich gebrochene Allgemeine ver&auml;nderte Subjektbildung.</p>
<p>Frauenbildungszusammenh&auml;nge und akademisierte Geschlechterforschung haben in dieser doppelten Perspektive die au&szlig;eruniversit&auml;re wie universit&auml;re Bildung Erwachsener ver&auml;ndert (z.B. durch ein entsprechendes Angebot in den Volkshochschulen oder neue Studieng&auml;nge).</p>
<p>Im Seminar werden wir uns in der Lekt&uuml;re der geschichtlichen Genese dieser Zusammenh&auml;nge widmen. Daneben werden wir verschiedene Orte ihrer Dokumentation besuchen. Dazu geh&ouml;ren: Die <em>Bibliothek f&uuml;r bildungsgeschichtliche Forschung</em> (hier wird das Material der Sektion Frauen- und Geschlechterforschung der Deutschen Gesellschaft f&uuml;r Erziehungswissenschaft (DGfE) archiviert), das <em>Weiterbildungsprogramm-Archiv Berlin/Brandenburg</em> und <em>Das feministische Archiv </em>(FFBIZ). Damit wird in dem Seminar zugleich in die Archivarbeit als Teil wissenschaftlichen Arbeitens eingef&uuml;hrt. Am 7.7. (Donnerstag!) und 8.7.2022 widmen wir uns au&szlig;er der Reihe der Geschichte der Sektion Frauen und Geschlechterforschung (DGfE). Weitere Informationen folgen im Seminar.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
Im Archiv - (Autonome) Frauenbildungszusammenhänge und akademisierte Geschlechterforschung,Seminar,,J,,deutsch,2022-06-24,2022-06-24,,"10:00","14:00",Freitag,Einzeltermin,Einzeltermin,Jeannette Windheuser,Seminarraum 2.102,"1. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Bildung und ihre institutionellen Kontexte sind f&uuml;r Frauenbewegung und Geschlechterpolitik von besonderer Bedeutung, insofern sie einerseits die politische Bewusstwerdung erm&ouml;glich(t)en und andererseits Gegenstand der feministischen/geschlechterpolitischen Kritik waren und sind. Das Seminar befasst sich sowohl mit Frauenbildungszusammenh&auml;ngen, wie sie w&auml;hrend der zweiten Frauenbewegung au&szlig;erhalb, am Rand und in der Universit&auml;t an unterschiedlichen Orten entstanden (z.B. die Berliner Sommeruniversit&auml;t f&uuml;r Frauen ab 1976) als auch mit ihrer Transformation und Erweiterung im Zuge der Akademisierung der Geschlechterforschung bis heute. Bildung wird in diesem Zusammenhang hinsichtlich der Etablierung von Geschlecht als Gegenstand von Bildung in den Blick genommen und als im Bewusstsein um das geschlechtlich gebrochene Allgemeine ver&auml;nderte Subjektbildung.</p>
<p>Frauenbildungszusammenh&auml;nge und akademisierte Geschlechterforschung haben in dieser doppelten Perspektive die au&szlig;eruniversit&auml;re wie universit&auml;re Bildung Erwachsener ver&auml;ndert (z.B. durch ein entsprechendes Angebot in den Volkshochschulen oder neue Studieng&auml;nge).</p>
<p>Im Seminar werden wir uns in der Lekt&uuml;re der geschichtlichen Genese dieser Zusammenh&auml;nge widmen. Daneben werden wir verschiedene Orte ihrer Dokumentation besuchen. Dazu geh&ouml;ren: Die <em>Bibliothek f&uuml;r bildungsgeschichtliche Forschung</em> (hier wird das Material der Sektion Frauen- und Geschlechterforschung der Deutschen Gesellschaft f&uuml;r Erziehungswissenschaft (DGfE) archiviert), das <em>Weiterbildungsprogramm-Archiv Berlin/Brandenburg</em> und <em>Das feministische Archiv </em>(FFBIZ). Damit wird in dem Seminar zugleich in die Archivarbeit als Teil wissenschaftlichen Arbeitens eingef&uuml;hrt. Am 7.7. (Donnerstag!) und 8.7.2022 widmen wir uns au&szlig;er der Reihe der Geschichte der Sektion Frauen und Geschlechterforschung (DGfE). Weitere Informationen folgen im Seminar.</p>
<p>&nbsp;</p>
<p>&nbsp;</p>"
Grammaire et traduction,Übung,,N,,französisch,,,,"10:00","12:00",Mittwoch,wöchentlich,wöchentlich,Martine Geffroy,Seminarraum 1.607,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Ce cours est con&ccedil;u autour de trois axes&nbsp;pour chaque point de grammaire&nbsp;: 1. observation en contexte, r&eacute;flexion et conceptualisation d&rsquo;un ph&eacute;nom&egrave;ne grammatical complexe, 2. exercices divers, 3. traduction d&rsquo;un corpus de phrases. <strong>Attention&nbsp;: ce n&rsquo;est pas un cours de traduction&nbsp;</strong>!</p>"
Compréhension auditive et expression orale / cours préparatoire,Übung,,N,,französisch,,,,"12:00","14:00",Donnerstag,wöchentlich,wöchentlich,Nicole Savall,Sprachlabor 325,"3. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,Zentraleinrichtung Sprachenzentrum,"<p>Ce cours est con&ccedil;u comme un entra&icirc;nement des diff&eacute;rentes comp&eacute;tences orales (compr&eacute;hension et expression) sur la base de documents authentiques traitant de l&rsquo;actualit&eacute; du monde francophone (politique, sociale, culturelle&hellip;).</p>
<p>&nbsp;</p>"
Grammaire &#8211; Vertiefungskurs,Übung,,N,,französisch,,,,"08:00","10:00",Donnerstag,wöchentlich,wöchentlich,Martine Geffroy,Sprachlabor 445,"4. OG                    ",Dorotheenstraße 65                                ,Boeckh-Haus,"Sprach- und literaturwissenschaftliche Fakultät, Institut für Romanistik","<p>Ce cours facultatif aura comme principal sujet, le groupe verbal&nbsp;: les temps du pass&eacute;, les modes conditionnel et subjonctif, le passif, la concordance des temps dans le discours indirect. Si besoin est, l&rsquo;analyse syntaxique du cours 1 sera r&eacute;vis&eacute;e.</p>"
"Genre, Register and Style",Übung,,N,,englisch,2022-04-25,2022-07-18,,"12:00","14:00",Montag,wöchentlich,wöchentlich,Emma Fawcett,Seminarraum 1.502,"5. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Competent writers can vary their language according to the type of text they wish to create. This semester, we will experiment with a range of genres, identifying the effects that various style alterations have on the final product and thus gaining control over and confidence in our own writing.</p>
<p><span style=""text-decoration: underline;"">Registration required</span> via email to emma.fawcett@hu-berlin.de by Friday 15th April.</p>"
Gesundheitsgerechtigkeit. Kritik und Vermittlung,Vertiefungsseminar,https://moodle.hu-berlin.de/user/index.php?id=110268,N,,deutsch-englisch,,,,"10:00","14:00",Montag,wöchentlich,wöchentlich,Henrik Lebuhn,Besprechungsraum 201,"2. OG                    ",Universitätsstraße 3b                             ,Institutsgebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sozialwissenschaften","<p>Covid hat erneut ein Schlaglicht auf die Bedeutung von r&auml;umlichen Faktoren f&uuml;r Fragen von Gesundheit und sozialer Gerechtigkeit geworfen. In Stadtplanung und Public Health wird neuerdings verst&auml;rkt ein Setting-Ansatz propagiert, der die Bedeutung von Nachbarschaft, r&auml;umlichem Umfeld und Umweltfaktoren f&uuml;r Gesundheit und Wohlergehen unterstreicht. Berlin hat bereits 2016 Umweltgerechtigkeit zu einer Zielvorgabe gemacht und nimmt hier bundes- und europaweit eine Vorreiterrolle ein. Auch die feministischen Debatten um Care und Sorgearbeit werden in den vergangenen Jahren verst&auml;rkt in der Stadtforschung, Raumplanung und Architektur rezipiert. Zugleich zeigt sich, dass die Messung, Kategorisierung und sozialr&auml;umliche Verortung von Strukturen, Bedingungen und Prozessen auf dem Feld der Gesundheitsforschung mit gro&szlig;en Herausforderungen verbunden ist. In dem Seminar wollen wir uns zun&auml;chst in die aktuelle Literatur einlesen (Environmental Justice, Kritische Sozialepidemiologie, Kritische Kartographie, stadtsoziologische Care-Ans&auml;tze) und mit den konzeptionellen und empirischen Schwierigkeiten auseinandersetzen. Auf dieser Grundlage wollen wir dann eigene mediale Formate entwickeln und erstellen, die das Thema Umweltgerechtigkeit f&uuml;r eine breitere &Ouml;ffentlichkeit an greifbaren Beispielen zug&auml;nglich und verst&auml;ndlich machen, und dabei auch die impliziten Voraussetzungen kritisch reflektieren. Denkbar w&auml;re unter anderem die Konzeption einer Wanderausstellung in den Berliner Stadtteilbibliotheken oder auch die Zusammenstellung einer Handreichung f&uuml;r Lehrkr&auml;fte oder politische Bildner*innen. Das Seminar wird im co-teaching Format unterrichtet und wendet sich vor allem an Studierende der Geographie und der Sozialwissenschaften.</p>"
Gesundheitsgerechtigkeit. Kritik und Vermittlung,Vertiefungsseminar,https://moodle.hu-berlin.de/user/index.php?id=110268,N,,deutsch-englisch,,,,"10:00","14:00",Montag,wöchentlich,wöchentlich,Henrik Lebuhn,Besprechungsraum 201,"2. OG                    ",Universitätsstraße 3b                             ,Institutsgebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sozialwissenschaften","<p>Covid hat erneut ein Schlaglicht auf die Bedeutung von r&auml;umlichen Faktoren f&uuml;r Fragen von Gesundheit und sozialer Gerechtigkeit geworfen. In Stadtplanung und Public Health wird neuerdings verst&auml;rkt ein Setting-Ansatz propagiert, der die Bedeutung von Nachbarschaft, r&auml;umlichem Umfeld und Umweltfaktoren f&uuml;r Gesundheit und Wohlergehen unterstreicht. Berlin hat bereits 2016 Umweltgerechtigkeit zu einer Zielvorgabe gemacht und nimmt hier bundes- und europaweit eine Vorreiterrolle ein. Auch die feministischen Debatten um Care und Sorgearbeit werden in den vergangenen Jahren verst&auml;rkt in der Stadtforschung, Raumplanung und Architektur rezipiert. Zugleich zeigt sich, dass die Messung, Kategorisierung und sozialr&auml;umliche Verortung von Strukturen, Bedingungen und Prozessen auf dem Feld der Gesundheitsforschung mit gro&szlig;en Herausforderungen verbunden ist.</p>
<p>In dem Seminar wollen wir uns zun&auml;chst in die aktuelle Literatur einlesen (Environmental Justice, Kritische Sozialepidemiologie, Kritische Kartographie, stadtsoziologische Care-Ans&auml;tze) und mit den konzeptionellen und empirischen Schwierigkeiten auseinandersetzen. Auf dieser Grundlage wollen wir dann eigene mediale Formate entwickeln und erstellen, die das Thema Umweltgerechtigkeit f&uuml;r eine breitere &Ouml;ffentlichkeit an greifbaren Beispielen zug&auml;nglich und verst&auml;ndlich machen, und dabei auch die impliziten Voraussetzungen kritisch reflektieren. Denkbar w&auml;re unter anderem die Konzeption einer Wanderausstellung in den Berliner Stadtteilbibliotheken oder auch die Zusammenstellung einer Handreichung f&uuml;r Lehrkr&auml;fte oder politische Bildner*innen.</p>"
Paris et la langue française,Seminar,,N,,deutsch,,,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Richard Waltereit,Seminarraum 1.608,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Dans ce cours, nous essaierons d&rsquo;illuminer le r&ocirc;le de Paris pour la langue fran&ccedil;aise. Le d&eacute;veloppement de la ville et de sa r&eacute;gion ont marqu&eacute; de fa&ccedil;on d&eacute;cisive l&rsquo;histoire, l&rsquo;<em>ausbau</em>&nbsp;et les vari&eacute;t&eacute;s du fran&ccedil;ais; ce r&ocirc;le continue &agrave; se faire sentir dans des d&eacute;veloppements r&eacute;cents tels &bdquo;l&rsquo;accent de banlieue&ldquo;.</p>
<p>&nbsp;Literatur: Lodge, Anthony (2004): A sociolinguistic history of Parisian French. Cambridge: Cambridge University Press.</p>"
Paris et la langue française,Seminar,,N,,deutsch,,,,"10:00","12:00",Montag,wöchentlich,wöchentlich,Richard Waltereit,Seminarraum 1.608,"6. OG                    ",Dorotheenstraße 24                                ,Universitätsgebäude am Hegelplatz,Technische Abteilung (V),"<p>Dans ce cours, nous essaierons d&rsquo;illuminer le r&ocirc;le de Paris pour la langue fran&ccedil;aise. Le d&eacute;veloppement de la ville et de sa r&eacute;gion ont marqu&eacute; de fa&ccedil;on d&eacute;cisive l&rsquo;histoire, l&rsquo;<em>ausbau</em>&nbsp;et les vari&eacute;t&eacute;s du fran&ccedil;ais; ce r&ocirc;le continue &agrave; se faire sentir dans des d&eacute;veloppements r&eacute;cents tels &bdquo;l&rsquo;accent de banlieue&ldquo;.</p>
<p>&nbsp;Literatur: Lodge, Anthony (2004): A sociolinguistic history of Parisian French. Cambridge: Cambridge University Press.</p>"
Ivrit für Anfänger*innen (GS/HS-H),Sprachkurs,,J,,deutsch,,,,"12:00","14:00",Freitag,wöchentlich,wöchentlich,Gila Wendt,Seminarraum 113,"1. OG                    ",Burgstraße 26                                     ,Institutsgebäude,Technische Abteilung (V),"<p>Das Beherrschen einer Sprache ist das Tor zu kulturellem Verst&auml;ndnis und dient der interkulturellen Verst&auml;ndigung. Im</p>
<p>modernen Hebr&auml;isch spiegeln sich die Einfl&uuml;sse verschiedener Kulturen und Epochen wider, wie im heutigen Staat Israel. Das</p>
<p>Erlernen des modernen Hebr&auml;isch erm&ouml;glicht den Zugang zur Alltagsprache und Kultur, zur modernen israelischen Belletristik</p>
<p>sowie zur hebr&auml;ischen Sekund&auml;rliteratur und erleichtert das Verst&auml;ndnis antiker hebr&auml;ischer Texte. Der Kurs bereitet auch</p>
<p>auf das Studienjahr &bdquo;Studium in Israel&ldquo; vor. Im Anf&auml;ngerkurs werden grammatikalische Grundlagen vermittelt und einfache,</p>
<p>alltagsbezogene Texte gelesen, au&szlig;erdem wird viel gesprochen.</p>"
Vorbereitung des berufsfelderschließenden Praktikums: Schul- und Unterrichtsqualität erforschen und reflektieren,Seminar,,N,,deutsch,,,,"16:00","18:00",Donnerstag,wöchentlich,wöchentlich,Nicky Zunker,Hörsaal 2 208,"2. OG                    ",Dorotheenstraße 26                                ,Institutsgebäude,Technische Abteilung (V),"<p>Das berufsfelderschlie&szlig;ende Praktikum zielt darauf ab, sich - im Sinne einer intensiven, theoretisch vorbereiteten, umfassend betreuten und gr&uuml;ndlich nachbereiteten Praxiserfahrung - an den beruflichen T&auml;tigkeiten und T&auml;tigkeitsfeldern der Lehrkr&auml;fte zu orientieren. Im Vorbereitungsseminar soll hierf&uuml;r der Grundstein gelegt werden. Dazu werden wir uns zun&auml;chst mit den zentralen Funktionen des Schulsystems und der Frage, was &bdquo;gute&ldquo; Schule und &bdquo;guten&ldquo; Unterricht ausmachen, auseinandersetzen - sowohl aus theoretischer Perspektive, als auch auf Grundlage empirischer Forschungsbefunde. Dies soll als Anregung dienen, um im weiteren Verlauf des Moduls dem didaktischen Prinzip des &bdquo;forschenden Lernens&ldquo; folgend Praktikumsforschungsprojekte kleineren Umfangs durchzuf&uuml;hren. Um eine im Rahmen des Seminarthemas selbstgew&auml;hlte Forschungsfrage w&auml;hrend des Praktikums bearbeiten zu k&ouml;nnen, erfolgt im Vorbereitungsseminar auch eine Auseinandersetzung mit Grundlagen empirischer Forschungsmethoden. Im folgenden Semester werden im Nachbereitungsseminar die Erfahrungen aus dem Praktikum reflektiert und das Projekt ausgewertet sowie dokumentiert.</p>"
Praxiscolloquium,Colloquium,,N,,deutsch,2022-05-07,2022-05-07,,"09:00","15:00",Samstag,Einzeltermin,Einzeltermin,Stefan Hansen,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<p>Das Colloquium soll Studierenden die M&ouml;glichkeit geben, ihre im Praktikum gemachten Erfahrungen in Bezug auf eine zuk&uuml;nftige berufliche T&auml;tigkeit zu reflektieren. Im Zentrum des Colloquiums stehen dabei die Erschlie&szlig;ung wesentlicher berufsrelevanter Kompetenzen sowie die &Uuml;berpr&uuml;fung, inwieweit diese durch das Praktikum erweitert oder ver&auml;ndert wurden.</p>
<p>Die Veranstaltung vermittelt dar&uuml;ber hinaus die Grundlagen und Bewertungskriterien f&uuml;r die Modulabschlusspr&uuml;fung im Modul BZQ1.</p>
<p><strong>Sollte die Veranstaltung aufgrund der Pandemiesituation digital durchgef&uuml;hrt werden, wird sie synchron stattfinden</strong>.</p>"
Praxiscolloquium,Colloquium,,N,,deutsch,2022-05-02,2022-05-02,,"08:00","10:00",Montag,Einzeltermin,Einzeltermin,Stefan Hansen,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<p>Das Colloquium soll Studierenden die M&ouml;glichkeit geben, ihre im Praktikum gemachten Erfahrungen in Bezug auf eine zuk&uuml;nftige berufliche T&auml;tigkeit zu reflektieren. Im Zentrum des Colloquiums stehen dabei die Erschlie&szlig;ung wesentlicher berufsrelevanter Kompetenzen sowie die &Uuml;berpr&uuml;fung, inwieweit diese durch das Praktikum erweitert oder ver&auml;ndert wurden.</p>
<p>Die Veranstaltung vermittelt dar&uuml;ber hinaus die Grundlagen und Bewertungskriterien f&uuml;r die Modulabschlusspr&uuml;fung im Modul BZQ1.</p>
<p><strong>Sollte die Veranstaltung aufgrund der Pandemiesituation digital durchgef&uuml;hrt werden, wird sie synchron stattfinden</strong>.</p>"
Praxiscolloquium BZQ,Colloquium,,N,,deutsch,2022-06-24,2022-06-24,,"15:00","17:00",Freitag,Einzeltermin,Einzeltermin,Sebastian Bohm,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<p>Das Colloquium soll Studierenden die M&ouml;glichkeit geben, ihre im Praktikum gemachten Erfahrungen in Bezug auf eine zuk&uuml;nftige berufliche T&auml;tigkeit zu reflektieren. Im Zentrum des Colloquiums stehen dabei die Erschlie&szlig;ung wesentlicher berufsrelevanter Kompetenzen sowie die &Uuml;berpr&uuml;fung, inwieweit diese durch das Praktikum erweitert oder ver&auml;ndert wurden.<br /> Die Veranstaltung vermittelt dar&uuml;ber hinaus die Grundlagen und Bewertungskriterien f&uuml;r die Modulabschlusspr&uuml;fung im Modul BZQ1.</p>"
Praxiscolloquium BZQ,Colloquium,,N,,deutsch,2022-07-08,2022-07-08,,"14:00","19:00",Freitag,Einzeltermin,Einzeltermin,Sebastian Bohm,Seminarraum 3 0.03,EG                       ,Hannoversche Straße 27                            ,Haus 25 / Bürogebäude,"Kultur-, Sozial- und Bildungswissenschaftliche Fakultät, Institut für Sportwissenschaft","<p>Das Colloquium soll Studierenden die M&ouml;glichkeit geben, ihre im Praktikum gemachten Erfahrungen in Bezug auf eine zuk&uuml;nftige berufliche T&auml;tigkeit zu reflektieren. Im Zentrum des Colloquiums stehen dabei die Erschlie&szlig;ung wesentlicher berufsrelevanter Kompetenzen sowie die &Uuml;berpr&uuml;fung, inwieweit diese durch das Praktikum erweitert oder ver&auml;ndert wurden.<br /> Die Veranstaltung vermittelt dar&uuml;ber hinaus die Grundlagen und Bewertungskriterien f&uuml;r die Modulabschlusspr&uuml;fung im Modul BZQ1.</p>"
